C,Si,Mn,P,S,Al,V,Nb,Ti,a_temp,r
0.041,0.664,2.484,0.019,0.001,0.028,0.077,0.016,0.365,780,1.4
0.027,0.034,1.491,0.012,0.002,0.034,0.1,0.008,0.002,827,1.7
0.027,0.072,1.472,0.01,0.003,0.034,0.147,0,0,832,1.7
0.026,0.057,1.467,0.011,0.002,0.034,0.116,0,0.01,828,1.7
0.027,0.01,1.511,0.01,0.002,0.035,0.107,0.051,0.003,832,1.7
0.029,0.013,1.427,0.01,0.002,0.034,0.116,0.054,0.004,829,1.7
0.025,0.01,1.44,0.009,0.002,0.035,0.123,0.042,0,831,1.7
0.032,0.021,1.642,0.008,0.004,0.027,0.07,0.058,0.024,822,1.7
0.03,0.046,1.611,0.009,0.005,0.028,0.076,0.026,0.037,829,1.7
0.031,0.023,1.71,0.01,0.004,0.028,0.091,0.027,0.047,826,1.7
0.02,0.034,1.58,0.011,0.005,0.033,0.08,0.01,0.012,831,1.4
0.022,0.016,1.62,0.009,0.004,0.033,0.074,0.007,0,829,1.4
0.021,0.026,1.62,0.006,0.005,0.034,0.053,0.01,0,829,1.4
0.029,0.063,1.469,0.009,0.004,0.032,0.123,0.018,0.017,826,1.6
0.03,0.008,1.537,0.008,0.004,0.033,0.134,0.063,0,829,1.6
0.034,0.003,1.535,0.009,0.004,0.033,0.11,0.053,0.002,827,1.6
0.025,0.046,1.426,0.011,0.002,0.035,0.128,0.112,0.124,827,1.7
0.025,0.031,1.493,0.01,0.002,0.034,0.087,0.099,0.128,838,1.7
0.023,0.016,1.571,0.009,0.003,0.034,0.124,0.088,0.129,830,1.7
0.029,0.02,1.673,0.014,0.004,0.032,0.031,0,0,825,0.8
0.033,0,1.559,0.011,0.005,0.032,0.038,0.002,0,828,0.8
0.028,0.02,1.593,0.007,0.005,0.032,0.043,0,0.01,828,0.8
0.021,0.195,1.992,0.058,0.003,0.029,0.117,0.013,0,851,1.8
0.018,0.232,1.994,0.061,0.002,0.03,0.142,0.001,0.011,848,1.8
0.021,0.21,2.059,0.058,0.002,0.029,0.131,0.02,0.01,850,1.8
0.022,0.568,1.888,0.04,0,0.032,0.111,0.003,0.004,854,1.8
0.023,0.538,1.919,0.04,0.001,0.032,0.112,0.037,0.001,852,1.8
0.024,0.533,1.882,0.04,0,0.031,0.099,0.033,0.006,848,1.8
0.025,0.324,1.737,0.01,0.003,0.025,0.07,0.02,0.035,846,1.7
0.028,0.269,1.721,0.007,0.003,0.025,0.078,0.04,0.02,855,1.7
0.023,0.283,1.676,0.012,0.004,0.025,0.089,0.031,0.042,849,1.7
0.021,0.713,1.573,0.011,0.002,0.028,0.069,0.048,0,828,1.6
0.021,0.716,1.573,0.013,0.002,0.027,0.068,0.05,0,833,1.6
0.017,0.646,1.528,0.006,0.002,0.028,0.065,0.065,0.013,839,1.6
0.011,0.246,1.521,0.011,0.002,0.033,0.058,0.009,0.018,828,1.7
0.01,0.22,1.57,0.01,0.002,0.032,0.047,0,0.008,832,1.7
0.012,0.24,1.512,0.012,0.002,0.032,0.051,0.006,0.039,826,1.7
0.018,0.43,1.58,0.029,0.003,0.035,0.097,0.008,0.004,830,1.6
0.018,0.515,1.609,0.028,0.003,0.035,0.099,0,0,831,1.6
0.018,0.446,1.606,0.031,0.003,0.035,0.093,0,0.02,827,1.6
0.022,0.318,1.753,0.05,0.001,0.03,0.103,0.01,0.002,829,1.6
0.019,0.438,1.78,0.049,0.001,0.031,0.101,0.01,0.009,829,1.6
0.019,0.421,1.7,0.045,0,0.03,0.106,0,0.01,831,1.6
