C,P,S,Al,Nb,Ti,ceq,a_temp,r
0.012,0.012,0.002,0.032,0.006,0.039,0.3142,826,1.7
0.018,0.029,0.003,0.035,0.008,0.004,0.3724,830,1.6
0.018,0.028,0.003,0.035,0,0,0.3918,831,1.6
0.018,0.031,0.003,0.035,0,0.02,0.3786,827,1.6
0.022,0.05,0.001,0.03,0.01,0.002,0.387766667,829,1.6
0.019,0.049,0.001,0.031,0.01,0.009,0.408866667,829,1.6
0.019,0.045,0,0.03,0,0.01,0.3937,831,1.6
0.019,0.019,0.004,0.029,0.036,0.01,0.409533333,830,1.7
0.019,0.02,0.004,0.029,0.045,0.006,0.394966667,834,1.7
0.019,0.018,0.004,0.029,0.029,0.014,0.3974,828,1.7
0.007,0.008,0.004,0.031,0,0.001,0.3929,828,1.8
0.008,0.011,0.005,0.031,0.012,0.009,0.370366667,825,1.8
0.009,0.007,0.005,0.032,0.01,0.007,0.359433333,820,1.8
0.097,0.01,0.002,0.028,0.014,0.01,0.515133333,829,0.8
0.098,0.009,0.003,0.029,0.008,0.002,0.5143,827,0.8
0.095,0.012,0.003,0.028,0,0.002,0.499266667,831,0.8
0.021,0.01,0.002,0.029,2.04E+00,0.005,0.366666667,850,0.8
0.022,0.009,0.001,0.03,0.007,0.02,0.349333333,851,0.8
0.019,0.011,0.001,0.03,0.01,0.005,0.349233333,855,0.8
0.023,0.029,0,0.03,0,0,0.450133333,851,1.6
0.025,0.032,0,0.03,0.018,0,0.477366667,851,1.6
0.023,0.027,0.001,0.03,0.012,0,0.4726,847,1.6
0.022,0.047,0.002,0.028,0,0.001,0.4224,855,1.7
0.021,0.048,0.003,0.028,0.023,0.005,0.394133333,848,1.7
0.023,0.049,0.003,0.029,0,0.007,0.385933333,850,1.7
0.023,0.041,0.003,0.026,0.314,0,0.408333333,854,1.6
0.02,0.04,0.003,0.027,0.32,0,0.4138,852,1.6
0.024,0.041,0.003,0.026,0.324,0.001,0.4086,849,1.6
0.018,0.051,0.001,0.033,0.019,0.02,0.3828,833,1.7
0.022,0.047,0,0.034,0,0,0.3862,830,1.7
0.02,0.05,0,0.033,0.002,0.004,0.3813,830,1.7
0.025,0.052,0.002,0.032,0.01,0.299,0.441866667,848,1.7
0.024,0.049,0.002,0.031,0.01,0.319,0.450633333,852,1.7
0.024,0.05,0.001,0.032,0.017,0.312,0.4413,849,1.7
0.018,0.01,0.002,0.033,0.02,0.01,0.288133333,832,0.8
0.02,0.01,0.003,0.032,0.01,0,0.2799,833,0.8
0.019,0.009,0.003,0.032,0.003,0.002,0.263266667,826,0.8
0.024,0.008,0.002,0.035,0,0.015,0.359833333,830,1.7
0.02,0.009,0.002,0.035,0,0,0.3712,823,1.7
0.022,0.011,0.003,0.035,0.003,0.011,0.358566667,824,1.7
0.039,0.011,0.004,0.032,0.01,0.001,0.613733333,778,1.1
0.038,0.011,0.004,0.033,0,0.002,0.616266667,773,1.1
0.037,0.007,0.003,0.033,0.004,0,0.6226,782,1.1
0.041,0.01,0.001,0.035,0.177,0.007,0.5863,776,1.4
0.043,0.011,0.001,0.034,0.174,0,0.608266667,774,1.4
0.039,0.009,0.001,0.034,0.166,0,0.596466667,779,1.4
0.038,0.009,0.009,0.033,0.01,0.059,0.605833333,759,1.4
0.035,0.008,0.009,0.032,0,0.054,0.598633333,758,1.4
0.036,0.011,0.008,0.032,0.01,0.072,0.5986,763,1.4
0.049,0.011,0.005,0.036,0.052,0,0.612933333,773,1.3
0.049,0.01,0.006,0.035,0.096,0.007,0.603233333,766,1.3
0.045,0.009,0.005,0.036,0.081,0.005,0.579166667,769,1.3
0.038,0.01,0.006,0.035,0.198,0.252,0.618633333,768,1.5
0.038,0.011,0.006,0.035,0.197,0.254,0.624833333,782,1.5
0.038,0.009,0.006,0.034,0.187,0.267,0.624166667,782,1.5
0.049,0.007,0.007,0.038,0.012,0.019,0.608,777,0.8
0.043,0.01,0.006,0.037,0.011,0.009,0.6019,779,0.8
0.046,0.008,0.007,0.038,0.013,0.005,0.596466667,783,0.8
0.039,0.049,0.003,0.039,0.023,0.105,0.693333333,757,1.3
0.042,0.049,0.004,0.038,0.02,0.112,0.7037,760,1.3
0.04,0.049,0.004,0.038,0.014,0.112,0.691066667,765,1.3
0.043,0.049,0.008,0.032,0.031,0.068,0.689933333,784,1.1
0.042,0.051,0.008,0.032,0.057,0.05,0.673733333,776,1.1
0.041,0.05,0.009,0.033,0.022,0.058,0.660633333,780,1.1
0.049,0.047,0.006,0.034,0.181,0.146,0.6935,784,1.4
0.047,0.04,0.005,0.033,0.175,0.138,0.666433333,783,1.4
0.047,0.039,0.005,0.033,0.175,0.147,0.6769,780,1.4
0.042,0.041,0.007,0.033,0.02,0.001,0.646033333,756,0.8
0.041,0.039,0.006,0.033,0.01,0.011,0.6501,761,0.8
0.044,0.039,0.007,0.033,0.01,0.01,0.6562,757,0.8
0.035,0.038,0.006,0.035,0.008,0.01,0.743,781,1.4
0.036,0.043,0.005,0.034,0,0.004,0.753466667,781,1.4
0.036,0.04,0.006,0.035,0.007,0.002,0.757933333,778,1.4
0.044,0.015,0.003,0.03,0.008,0.003,0.6486,776,1.1
0.041,0.021,0.003,0.03,0.002,0.003,0.634033333,781,1.1
0.039,0.021,0.003,0.03,0.013,0.001,0.628633333,780,1.1
0.042,0.019,0.002,0.03,0.065,0.003,0.6323,758,1.3
0.041,0.016,0.002,0.03,0.077,0.01,0.6108,758,1.3
0.041,0.02,0.003,0.03,0.063,0,0.6247,756,1.3
0.042,0.029,0.002,0.029,0.302,0.003,0.6438,775,1.3
0.039,0.03,0.003,0.029,0.298,0.008,0.623166667,777,1.3
0.043,0.031,0.003,0.029,0.282,0.001,0.660433333,775,1.3
0.042,0.022,0.002,0.03,0.511,0,0.613933333,775,1.4
0.04,0.019,0.002,0.03,0.529,0.002,0.640466667,776,1.4
0.04,0.017,0.002,0.03,0.513,0.01,0.6224,782,1.4
0.04,0.031,0.002,0.03,0.002,0,0.6387,758,1.1
0.037,0.031,0.003,0.031,0.01,0,0.660466667,755,1.1
0.04,0.03,0.002,0.03,0.014,0,0.664766667,762,1.1
0.043,0.021,0.004,0.032,0.01,0.034,0.6506,756,1.2
0.04,0.02,0.003,0.032,0.01,0.041,0.6339,759,1.2
0.041,0.023,0.004,0.032,0.002,0.031,0.615466667,754,1.2
0.036,0.031,0.002,0.031,0.007,0.181,0.6771,783,1.3
0.038,0.033,0.001,0.031,0.016,0.176,0.654,783,1.3
0.038,0.029,0.001,0.032,0.018,0.189,0.6519,784,1.3
0.038,0.018,0.002,0.032,0.018,0.294,0.6461,776,1.3
0.037,0.022,0.003,0.031,0.01,0.284,0.646366667,783,1.3
0.038,0.021,0.003,0.031,0,0.303,0.636266667,784,1.3
